Language,Language Family,Language Script,ISO code,Countries
Afrikaans,IE: Germanic,Latin,af,"['South Africa', 'Namibia']"
Amharic,Afro-Asiatic,Ge'ez (Ethiopic),am,"['Ethiopia']"
Arabic,Afro-Asiatic,Arabic,ar,"['Arab League countries']"
Assamese,IE: Indo-Aryan,Assamese (Brahmic),as,"['India', 'Bangladesh']"
Azerbaijani,Turkic,Latin,az,"['Azerbaijan']"
Basque,Basque,Latin,eu,"['Spain', 'France']"
Bengali,IE: Indo-Aryan,Bengali (Brahmic),bn,"['Bangladesh', 'India']"
Bulgarian,IE: Slavic,Cyrillic,bg,"['Bulgaria']"
Burmese,Sino-Tibetan,Burmese (Brahmic),my,"['Myanmar']"
Chinese,Sino-Tibetan,Chinese ideograms,zh,"['China', 'Taiwan', 'Singapore']"
Dutch,IE: Germanic,Latin,nl,"['Netherlands', 'Belgium']"
English,IE: Germanic,Latin,en,"['United Kingdom', 'United States', 'Canada', 'Australia', 'New Zealand']"
Czech,IE: Slavic,Latin,cs,"['Czech Republic']"
Estonian,Uralic,Latin,et,"['Estonia']"
Finnish,Uralic,Latin,fi,"['Finland']"
French,IE: Romance,Latin,fr,"['France', 'Canada', 'Belgium', 'Switzerland']"
Georgian,Kartvelian,Georgian,ka,"['Georgia']"
German,IE: Germanic,Latin,de,"['Germany', 'Austria', 'Switzerland', 'Liechtenstein']"
Greek,IE: Greek,Greek,el,"['Greece', 'Cyprus']"
Gujarati,IE: Indo-Aryan,Gujarati (Brahmic),gu,"['India']"
Hausa,Afro-Asiatic,Latin (Ajami),ha,"['Nigeria', 'Niger']"
Hebrew,Afro-Asiatic,Hebrew,he,"['Israel']"
Hindi,IE: Indo-Aryan,Devanagari,hi,"['India', 'Fiji']"
Hungarian,Uralic,Latin,hu,"['Hungary']"
Igbo,Atlantic-Congo,Latin,ig,"['Nigeria']"
Indonesian,Austronesian,Latin,id,"['Indonesia']"
Italian,IE: Romance,Latin,it,"['Italy', 'Switzerland', 'San Marino', 'Vatican City']"
Japanese,Japonic,Japanese ideograms,ja,"['Japan']"
Javanese,Austronesian,Javanese (Brahmic),jv,"['Indonesia']"
Kannada,Dravidian,Kannada (Brahmic),kn,"['India']"
Kazakh,Turkic,Cyrillic,kk,"['Kazakhstan']"
Kirundi,Atlantic-Congo,Latin,rn,"['Burundi']"
Korean,Koreanic,Hangul,ko,"['South Korea', 'North Korea']"
Kyrgyz,Turkic,Cyrillic,ky,"['Kyrgyzstan']"
Malay,Austronesian,Latin,ms,"['Malaysia', 'Indonesia', 'Brunei', 'Singapore']"
Malayalam,Dravidian,Malayalam (Brahmic),ml,"['India']"
Mandarin,Sino-Tibetan,Chinese ideograms,cmn,"['China', 'Taiwan', 'Singapore']"
Marathi,IE: Indo-Aryan,Devanagari,mr,"['India']"
Nepali,IE: Indo-Aryan,Devanagari,ne,"['Nepal', 'India']"
Odia,IE: Indo-Aryan,Odia (Brahmic),or,"['India']"
Oromo,Afro-Asiatic,Latin,om,"['Ethiopia']"
Pashto,IE: Iranian,Pashto (Arabic),ps,"['Afghanistan', 'Pakistan']"
Persian,IE: Iranian,Perso-Arabic,fa,"['Iran', 'Afghanistan', 'Tajikistan']"
Pidgin,IE: Germanic,Latin,pid,"['Nigeria', 'Cameroon', 'Ghana']"
Portuguese,IE: Romance,Latin,pt,"['Portugal', 'Brazil', 'Angola', 'Mozambique']"
Punjabi,IE: Indo-Aryan,Gurmukhi,pa,"['India', 'Pakistan']"
Russian,IE: Slavic,Cyrillic,ru,"['Russia', 'Belarus', 'Kazakhstan', 'Kyrgyzstan']"
Scottish_gaelic,IE: Celtic,Latin,gd,"['United Kingdom']"
Serbian_Cyrillic,IE: Slavic,Cyrillic,sr,"['Serbia', 'Bosnia and Herzegovina', 'Montenegro']"
Serbian_Latin,IE: Slavic,Latin,sr,"['Serbia', 'Bosnia and Herzegovina', 'Montenegro']"
Sinhala,IE: Indo-Aryan,Sinhala (Brahmic),si,"['Sri Lanka']"
Somali,Afro-Asiatic,Latin,so,"['Somalia']"
Spanish,IE: Romance,Latin,es,"['Spain', 'Latin American countries']"
Swahili,Niger-Congo,Latin,sw,"['Tanzania', 'Kenya', 'Uganda', 'Rwanda', 'Burundi', 'Democratic Republic of the Congo']"
Tagalog,Austronesian,Tagalog (Brahmic),tl,"['Philippines']"
Tamil,Dravidian,Tamil (Brahmic),ta,"['India', 'Sri Lanka', 'Singapore', 'Malaysia']"
Telugu,Dravidian,Telugu (Brahmic),te,"['India']"
Thai,Kra-Dai,Thai (Brahmic),th,"['Thailand']"
Tigrinya,Afro-Asiatic,Ge'ez (Ethiopic),ti,"['Eritrea', 'Ethiopia']"
Turkish,Turkic,Latin,tr,"['Turkey']"
Ukrainian,IE: Slavic,Cyrillic,uk,"['Ukraine']"
Urdu,IE: Indo-Aryan,Perso-Arabic,ur,"['Pakistan', 'India']"
Uzbek,Turkic,Latin,uz,"['Uzbekistan']"
Vietnamese,Austro-Asiatic,Latin,vi,"['Vietnam']"
Welsh,IE: Celtic,Latin,cy,"['Wales']"
Yoruba,Niger-Congo,Latin (Ajami),yo,"['Nigeria', 'Benin', 'Togo']"
Bemba,Bantu,Latin,bem,"['Zambia']"
Fon,Niger-Congo,Latin,fon,"['Benin']"
Kinyarwanda,Bantu,Latin,rw,"['Rwanda']"
Twi,Kwa,Latin,tw,["Ghana"]
Wolof,Atlantic-Congo,Latin,wo,"['Senegal', 'Gambia', 'Mauritania']"
Zulu,Bantu,Latin,zu,"['South Africa', 'Zimbabwe', 'Lesotho']"
Czech,Indo-European,Latin,cs,"['Czech Republic']"
Danish,Indo-European,Latin,da,"['Denmark', 'Greenland', 'Faroe Islands']"
Norwegian,Indo-European,Latin,no,"['Norway']"
Polish,Indo-European,Latin,pl,"['Poland']"
Swedish,Indo-European,Latin,sv,"['Sweden']"
Chinese_Simplified,Sino-Tibetan,Chinese ideograms,zh-Hans,"['China', 'Singapore']"
